e911_calls.ai_crisis_classification,e911_calls.audio_duration_seconds,e911_calls.audio_file_name,e911_calls.call_id,e911_calls.call_priority,e911_calls.call_type,e911_calls.caller_age_estimate,e911_calls.caller_gender,e911_calls.caller_number,e911_calls.dispatcher_id,e911_calls.emotion_analysis,e911_calls.geolocation,e911_calls.incident_address,e911_calls.incident_risk_score,e911_calls.incident_type,e911_calls.known_individuals_involved,e911_calls.language_detected,e911_calls.location_type,e911_calls.notes,e911_calls.prior_incidents_last_30_days,e911_calls.repeat_call_location,e911_calls.response_status,e911_calls.response_time_seconds,e911_calls.response_unit_dispatched,e911_calls.suspected_substances,e911_calls.timestamp_received,e911_calls.transcription_keywords,e911_calls.transcription_source,e911_calls.transcription_status
"{""classified_as"":""Substance Abuse"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",50,911-20250418-0409.mp3,911-20250418-0409,Medium,Emergency,38,Male,2094523759795,D9313,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.0}","{""census_tract"":""81938"",""county"":""Thomasville"",""latitude"":35.88264,""longitude"":-80.08199,""state"":""NY""}","260 Cindy Place, Williamsmouth, NM 39203",2.5,Medical,False,English,Apartment Complex,While example experience forget message buy administration night responsibility organization girl go deep though suddenly seven huge image term others rate change management manager fire imagine.,2,False,Arrived,543,Rescue 7,"[""Unknown Pills""]",2025-04-18T02:17:21Z,"[""product"",""election"",""event"",""picture"",""weight"",""analysis"",""experience""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",51,911-20250510-0978.mp3,911-20250510-0978,Critical,Emergency,84,Male,00139215819277244,D2559,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":9.7}","{""census_tract"":""99621"",""county"":""Estelle"",""latitude"":29.84576,""longitude"":-90.10674,""state"":""GA""}","645 Jones Street Suite 689, West Rebeccaside, ID 27548",2.5,Traffic Accident,False,English,Industrial,While bit middle score reach owner recently participant address memory difference wall thousand successful heart instead note movement sort oil myself audience help in pay brother role off.,2,False,Arrived,395,Rescue 11,"[""Unknown Pills""]",2025-05-10T00:45:56Z,"[""treatment"",""want"",""perform"",""kitchen"",""maintain"",""and""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",172,911-20250427-0319.mp3,911-20250427-0319,High,Emergency,75,Male,0017283391218,D5723,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":8.7}","{""census_tract"":""78121"",""county"":""Sterling"",""latitude"":39.00622,""longitude"":-77.4286,""state"":""NC""}","93288 Jennifer Point Apt. 221, Port Darylburgh, HI 00777",5.4,Drug Overdose,True,English,Commercial,Others test try quality resource business natural stand country himself behavior article right today eye floor during want operation sense skill everybody situation short nearly catch fire impact.,2,True,Arrived,799,Rescue 16,"[""Marijuana""]",2025-04-27T06:09:47Z,"[""administration"",""reality"",""history"",""its"",""boy"",""travel"",""meet""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",37,911-20250502-0462.mp3,911-20250502-0462,Low,Emergency,22,Female,+15311123590426,D3591,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":5.7}","{""census_tract"":""96867"",""county"":""Glendale"",""latitude"":34.14251,""longitude"":-118.25508,""state"":""NC""}","2866 Linda Key Apt. 085, Walkerborough, VT 89223",1.7,Burglary,True,English,Highway,Ball discussion behind live top fight stock fine range read recognize under individual listen name blue lay easy economic believe successful suffer property store hear institution return thank.,1,False,Arrived,1036,Rescue 3,"[""Marijuana""]",2025-05-02T14:49:17Z,"[""glass"",""fall"",""west"",""employee"",""series"",""with"",""sometimes"",""statement""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",80,911-20250426-0833.mp3,911-20250426-0833,Critical,Emergency,79,Other,9148356508,D2066,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":8.7}","{""census_tract"":""89443"",""county"":""Keene"",""latitude"":42.93369,""longitude"":-72.27814,""state"":""OH""}","227 Julie Isle Apt. 541, Lake Elizabethstad, WA 54303",2.1,Drug Overdose,False,English,Highway,Still wear school nothing few along customer start color eye she service without choose involve establish risk different within plant far determine than receive town subject.,5,False,Arrived,518,Rescue 16,"[""Marijuana""]",2025-04-26T10:45:45Z,"[""concern"",""field"",""author"",""institution"",""impact"",""inside"",""population"",""ago""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",85,911-20250423-0494.mp3,911-20250423-0494,Medium,Emergency,42,Other,7634153597,D1215,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":7.6}","{""census_tract"":""19849"",""county"":""Morningside Heights"",""latitude"":40.81,""longitude"":-73.9625,""state"":""NC""}","011 Schneider Mountain, Trevinoport, KS 32009",5.4,Domestic Disturbance,False,English,School,Front effort development establish whom plant finally hour forget possible life people finish down certain happen health need street purpose old whose general section.,1,False,Arrived,495,Rescue 2,"[""Unknown Pills""]",2025-04-23T18:23:19Z,"[""production"",""stand"",""process"",""reason"",""low"",""common"",""wall"",""life""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.89,""model_version"":""amazon.titan-text-express-v1""}",110,911-20250415-0065.mp3,911-20250415-0065,High,Emergency,79,Male,5387584282,D6295,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":6.8}","{""census_tract"":""83889"",""county"":""Aloha"",""latitude"":45.49428,""longitude"":-122.86705,""state"":""MD""}","48251 Michael Summit Suite 655, Brendamouth, DE 62175",5.2,Traffic Accident,True,English,Apartment Complex,Fear approach take case customer important notice trade leader first resource single maintain piece computer play above event seven collection share majority shake because pass.,0,False,Arrived,979,Rescue 19,"[""Unknown Pills""]",2025-04-15T15:47:34Z,"[""approach"",""plant"",""oil"",""per"",""line"",""create"",""build"",""quite""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",175,911-20250504-0730.mp3,911-20250504-0730,Low,Emergency,66,Other,+109529055095792,D6157,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":5.7}","{""census_tract"":""68931"",""county"":""Lower West Side"",""latitude"":41.8542,""longitude"":-87.66561,""state"":""KY""}","2668 Randy Ford Apt. 416, North Candiceview, UT 95011",9.6,Drug Overdose,True,English,Commercial,Ago with you seat approach maybe cut several change property brother view forward cause never sing thing decide western control hope marriage get station remain degree surface.,1,True,Arrived,924,Rescue 11,"[""Alcohol""]",2025-05-04T12:01:16Z,"[""rich"",""together"",""stop"",""smile"",""concern"",""maintain"",""position""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.93,""model_version"":""amazon.titan-text-express-v1""}",37,911-20250508-0692.mp3,911-20250508-0692,Critical,Emergency,73,Other,2543163915,D3103,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":8.6}","{""census_tract"":""90441"",""county"":""Middletown"",""latitude"":41.54566,""longitude"":-71.29144,""state"":""GA""}","7256 Margaret Lights Suite 820, South Christine, UT 14591",2.6,Traffic Accident,False,English,School,That likely behavior career society public spring Republican himself itself wife expert above doctor play everyone physical present reality in north determine difference coach whom seat tree.,4,True,Arrived,81,Rescue 4,[],2025-05-08T19:51:20Z,"[""floor"",""somebody"",""go"",""production"",""continue"",""travel"",""down"",""ahead""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",58,911-20250507-0503.mp3,911-20250507-0503,High,Emergency,59,Other,0014761110797647,D5725,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":8.3}","{""census_tract"":""26116"",""county"":""Troutdale"",""latitude"":45.53929,""longitude"":-122.38731,""state"":""NY""}","5728 Hernandez Loaf Apt. 485, Sherrytown, IL 76518",2.3,Assault,True,English,School,Rock consider tend practice television attack mind use site live person television third three keep hear American pressure notice throw image heavy market operation these space type.,5,False,Arrived,770,Rescue 15,"[""Marijuana""]",2025-05-07T05:56:04Z,"[""action"",""medical"",""what"",""herself"",""teach"",""score"",""activity"",""its""]",AWS Transcribe,Completed
